"","batch3","batch12","rename","batch12raw","batch3raw","clean","lili"
"1","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","AlphaLactose","Alpha-Lactose"
"2","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonicacid","Arachidonic acid"
"3","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoicacid","Benzoic acid"
"4","Beta.Alanine","Beta.Alanine","Beta.Alanine","Beta.Alanine","Beta.Alanine","BetaAlanine","Beta Alanine"
"5","C10","C10","C10","C10","C10","C10","Decanoylcarnitine"
"6","C10:1","C101","C10:1","C10.1","C10.1","C10_1","Decenoylcarnitine"
"7","C10:2","C102","C10:2","C10.2","C10.2","C10_2","Decadienoylcarnitine"
"8","C12","C12","C12","C12","C12","C12","Dodecanoylcarnitine"
"9","C12-DC","C12.DC","C12-DC","C12.DC","C12.DC","C12_DC","Dodecanedioylcarnitine"
"10","C12:1","C121","C12:1","C12.1","C12.1","C12_1","Dodecenoylcarnitine"
"11","C14","C14","C14","C14","C14","C14","Tetradecanoylcarnitine"
"12","C14:1","C141","C14:1","C14.1","C14.1","C14_1","Tetradecenoylcarnitine"
"13","C14:1-OH","C141.OH","C14:1-OH","C14.1.OH","C14.1.OH","C14_1_OH","3-Hydroxy-cis-5-tetradecenoylcarnitine"
"14","C14:2","C142","C14:2","C14.2","C14.2","C14_2","Tetradecadienoylcarnitine"
"15","C14:2-OH","C142.OH","C14:2-OH","C14.2.OH","C14.2.OH","C14_2_OH","Hydroxytetradecadienoylcarnitine"
"16","C16","C16","C16","C16","C16","C16","L-Palmitoylcarnitine"
"17","C16:1","C161","C16:1","C16.1","C16.1","C16_1","9-Hexadecenoylcarnitine"
"18","C16:1-OH","C161.OH","C16:1-OH","C16.1.OH","C16.1.OH","C16_1_OH","3-Hydroxy-9-hexadecenoylcarnitine"
"19","C16-OH","C16.OH","C16-OH","C16.OH","C16.OH","C16_OH","3-Hydroxyhexadecanoylcarnitine"
"20","C16:2","C162","C16:2","C16.2","C16.2","C16_2","Hexadecadienoylcarnitine"
"21","C16:2-OH","C162.OH","C16:2-OH","C16.2.OH","C16.2.OH","C16_2_OH","Hydroxyhexadecadienoylcarnitine"
"22","C18","C18","C18","C18","C18","C18","Octadecanoylcarnitine"
"23","C18:1","C181","C18:1","C18.1","C18.1","C18_1","Octadecenoylcarnitine"
"24","C18:1-OH","C181.OH","C18:1-OH","C18.1.OH","C18.1.OH","C18_1_OH","12-Hydroxy-12-octadecanoylcarnitine"
"25","C18:2","C182","C18:2","C18.2","C18.2","C18_2","Octadecadienylcarnitine"
"26","C2","C2","C2","C2","C2","C2","Acetylcarnitine"
"27","C3","C3","C3","C3","C3","C3","Propionylcarnitine"
"28","C3-DC (C4-OH)","C3.DC.C4.OH","C3-DC (C4-OH)","C3.DC..C4.OH.","C3.DC..C4.OH.","C3_D_C4_OH","Hydroxybutyrylcarnitine"
"29","C3:1","C31","C3:1","C3.1","C3.1","C3_1","Propenoylcarnitine"
"30","C3-OH","C3.OH","C3-OH","C3.OH","C3.OH","C3_OH","Hydroxypropionylcarnitine"
"31","C4","C4","C4","C4","C4","C4","Butyrylcarnitine"
"32","C4:1","C41","C4:1","C4.1","C4.1","C4_1","Butenylcarnitine"
"33","C5","C5","C5","C5","C5","C5","Valerylcarnitine"
"34","C5:1","C51","C5:1","C5.1","C5.1","C5_1","Tiglylcarnitine"
"35","C5:1-DC","C51.DC","C5:1-DC","C5.1.DC","C5.1.DC","C5_1_DC","Glutaconylcarnitine"
